time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.6757206847010828e-07,4.6795267444809024e-07,10.006947111830039,0.0003518749853839154,0.0001503268778613176,0.0,-1.522747847221861e-05,3.942907666719244e-05,0.23155141935215806,0.01557323262683682,0.007096976952554665,0.0,475.65565660086014,476.19870353802537,477.1131640321119,478.30038292007083
0.12000000000000001,-5.7203841894028205e-06,1.3595800207747149e-05,10.023294989650976,0.0014976359183389576,0.00017048818999665372,0.0,-0.00019754110549496037,0.0005022427539953639,0.31335826052972315,0.025345297897660816,-0.018756994343108135,0.0,432.6218906034498,430.4398694641997,430.3709806011733,431.1971274323378
0.18,-1.6875608971499675e-05,8.669033673910197e-05,10.048620799324741,0.0026915277940515736,6.282421910128175,0.0,-5.2156023013605704e-05,0.0020999524897848264,0.5307589318965037,0.005831786259131014,-0.009842735761981688,0.0,472.9272677367981,473.61337538954297,473.1184244535647,471.6138321213948
0.23999999999999996,-1.0838212477816092e-06,0.00027295087462330715,10.084637864292583,0.003142361733101673,6.28196562779004,0.0,0.0006345363741317302,0.004151895670272722,0.6697380475223769,0.010682159447462281,-0.003467264529151044,0.0,449.17677882120574,449.69354592973394,449.19451857644503,449.58750938490823
0.3,6.711556189878298e-05,0.0006014948205765735,10.1314642643707,0.003950364983537291,6.2821004260996585,0.0,0.0016406772246170655,0.006886607337459435,0.8909953313846506,0.018523359748147353,0.01174638225511717,0.0,473.8344006351409,475.00234234191265,473.89187690224827,474.494015887083
0.36000000000000004,0.00018321606249758335,0.0010916058662896774,10.185765728996975,0.005098532884514562,6.282799227634541,0.0,0.0021652075611580954,0.009553563662698201,0.9190307722284003,0.020334248057250915,0.011446566349099904,0.0,414.54838153287363,414.5219263230663,413.9094504880072,414.0687542432965
0.4200000000000001,0.0003183444638469101,0.0017843083196905588,10.245703235516189,0.006227126725443455,0.0007604634547488942,0.0,0.0022338366110203275,0.013666156320766235,1.078748047117922,0.015572474521257644,0.03118607498053065,0.0,456.4528102072388,458.0251515088322,455.5977528389818,455.21685968987293
0.48000000000000015,0.0004284842400406226,0.0027429608266354146,10.314439083042513,0.007161570564540476,0.0024381572907010707,0.0,0.00124681794261768,0.01838801978832038,1.212313551631564,0.015577242664744625,0.02057541125622451,0.0,448.2128742474325,447.3499969662405,449.42214749279,449.4224331302167
0.5400000000000001,0.0004512263707313305,0.003990204280988929,10.389074696571678,0.008566997067325666,0.0035003091527174846,0.0,-0.0006001382869991255,0.023302471859043394,1.275470380129981,0.03573069385142648,0.011229260063960366,0.0,427.1634950159984,426.36577871068454,425.46162633704654,427.1835237856996
0.6000000000000002,0.00033366354092381837,0.005589407390953524,10.470385681150926,0.01051235877767187,0.004364850605489856,0.0,-0.003403866579474133,0.030230178874523537,1.4347068954936872,0.024815192657760513,0.02011098597539207,0.0,456.41111951866156,457.1192486129459,457.522904089834,456.6534614518596
0.6600000000000003,1.9398884693070694e-05,0.007662063527788918,10.562813279696773,0.011840390136338641,0.0053348220922115885,0.0,-0.007201009448502724,0.039022883804347576,1.6459306419908275,0.016145373186006416,0.0068005953189680425,0.0,474.1397225200645,473.1160167582757,472.459524478235,471.79065860220766
0.7200000000000003,-0.0005620495279573888,0.010336076002577264,10.671475887746672,0.013536493989772858,0.005267260377144645,0.0,-0.012213113155267335,0.05029551943611135,1.975644284491353,0.045386548661559105,-0.025881034788817744,0.0,508.43577470735886,506.0891282800378,505.87384584015626,507.9749867634139
0.7800000000000004,-0.001401757846264876,0.013655406320776301,10.793831137790997,0.01635696422505717,0.003356901262940859,0.0,-0.015596740427501497,0.060639598401699794,2.1026353418988073,0.05006685590119396,-0.047731698285637204,0.0,449.5279163519094,447.75342460981005,449.50031315638137,449.88070783307074
0.8400000000000004,-0.002394279170542518,0.017631899589726507,10.922300768168391,0.01970505719608795,0.0007481497081025523,0.0,-0.01721827432434783,0.07222269749646973,2.1795367958620115,0.06532640951432636,-0.036103331220288234,0.0,433.4712648445886,434.44616800836195,433.1408301470831,434.424335910772
0.9000000000000005,-0.003434664760869284,0.022383972149294308,11.055898700643716,0.02382441566651128,6.281940330738021,0.0,-0.017251468825349437,0.08658303074082012,2.2735360466171812,0.07459587714852045,-0.027998200672764557,0.0,439.202328300478,439.8735530750053,439.3771075901218,440.1484848695672
0.9600000000000005,-0.004433535349308598,0.02815146341595383,11.197875776948871,0.027976123219130677,6.280102865712912,0.0,-0.015843978919829176,0.10615500382119068,2.4586397996414378,0.05529623650863506,-0.03647458207649314,0.0,467.754751462362,467.0939325395795,469.36596005100085,467.8690818805119
1.0200000000000005,-0.005310840357942792,0.0351213318342144,11.348741955905206,0.031100564091005367,6.27779915084308,0.0,-0.013167808313795297,0.1265016374274297,2.5699771555617357,0.044695757312525515,-0.0425423860169469,0.0,446.69572936932883,446.19993445523323,446.71741030122337,445.85392241025517
1.0800000000000005,-0.005989412251967231,0.04331373261197351,11.504304552208245,0.03465595560369206,6.275206292543828,0.0,-0.009210227786211025,0.14687673695151796,2.615327040882603,0.07872107844432798,-0.04459277333317492,0.0,426.1058057635608,425.9293621737438,424.18686379265023,427.1011143751466
1.1400000000000006,-0.006378371115064289,0.05281191477089754,11.662859774289387,0.039199300935762516,6.272307465588092,0.0,-0.003491798930031808,0.17016652004068034,2.669700712647323,0.06893004189248211,-0.05704511964932164,0.0,430.00755215854014,428.94983184631906,429.01363164960054,428.1862129079904
